"Player","pass_completion","KP","Min"
"Stefan Posch","78.4","10","714"
"Filip J?rgensen","83.6","0","540"
"Vanja Milinkovi?-Savi?","68","3","3330"
"Luke Shaw","85.9","5","349"
"Stefan Lekovic","86.2","0","367"
"Alessandro Zanoli","66.9","19","1711"
"Eric Garc?a","92.1","7","1566"
"Elliot Anderson","78.3","37","2728"
"Oihan Sancet","81","21","1620"
"Nathan Collins","85.9","10","3420"
"Munir El Haddadi","75","8","862"
"J?r?my Jacquet","83.5","4","927"
"Fikayo Tomori","92.4","8","1593"
"Math?as Olivera","85.4","25","2370"
"Rodrigo Riquelme","78.1","15","516"
"Alphonse Areola","69.6","0","2260"
"Noah Okafor","73.3","4","414"
"Giovanni Di Lorenzo","83.6","37","3330"
"Jamal Musiala","82.6","41","1798"
"Caleb Ekuban","67.3","8","555"
"Ryan Yates","81.5","18","1915"
"Leopold Querfeld","80.8","10","1747"
"Nathan Patterson","73.9","4","347"
"Rom?o Lavia","91.7","7","797"
"Arthur Atta","80.4","18","1251"
"Lautaro Gianetti","82.6","2","878"
"Nhoa Sangui","83.9","5","1158"
"Adam Masina","84.1","4","1919"
"Gon?alo Guedes","74.2","14","995"
"Ridle Baku","74.1","13","1170"
"Sacha Boey","92.4","3","593"
"Sandi Lovri?","78.7","32","2308"
"Christian Pulisic","76.5","69","2478"
"Yehor Yarmoliuk","87","9","1450"
"Emmanuel Agbadou","85.4","4","1410"
"Milos Kerkez","75.8","35","3336"
"Mikael Ellertsson","71","20","2470"
"Jude Bellingham","86.1","42","2488"
"Javi Rodr?guez","86.7","13","2514"
"Sam Johnstone","66.2","1","630"
"Ilaix Moriba","85.7","20","2132"
"Nicol?s Tagliafico","86.6","5","1902"
"Iker Losada","75","5","358"
"Nikolas Veratschnig","72.6","5","364"
"Francisco Concei??o","78.3","28","1340"
"Benjamin Andr?","83","21","2692"
"Mirko Mari?","74.6","2","356"
"Lucas V?zquez","87.1","33","2189"
"Michael Keane","82.8","2","1049"
"Maroan Sannadi","72.3","7","754"
"Cedric Zesiger","78.6","7","1221"
"Emmanuel Gyasi","77.1","17","3217"
"Carlos G?mez","73","5","381"
"Daley Blind","88.8","19","2780"
"Stephan El Shaarawy","79.2","15","1098"
"Wojciech Szcz?sny","88.5","0","1350"
"Etienne Youte Kinkoue","89.1","3","2320"
"Jes?s Navas","77.5","10","424"
"Cheick Doucour?","85.3","1","452"
"Leonardo Balerdi","93.8","8","2273"
"Santiago Gim?nez","80.6","6","669"
"Reiss Nelson","86.6","13","487"
"Yerson Mosquera","85.4","2","441"
"Abdallah Sima","69.6","13","1238"
"Marco Silvestri","63.5","0","450"
"Idrissa Gana Gueye","86.5","19","3063"
"Danilo","90.6","3","581"
"Juli?n Chicco","79","2","302"
"Rani Khedira","73.7","12","2723"
"Nathaniel Brown","80.7","39","1947"
"Diego Coppola","81.1","3","2927"
"Alejandro Franc?s","84.3","4","1173"
"Pablo Mar?","89.7","3","1628"
"Fredrik Jensen","69.5","11","763"
"Fran Beltr?n","88.6","15","2421"
"Roberto L?pez","73.1","10","396"
"Teddy Teuma","79.2","13","750"
"Emile Smith Rowe","90.1","24","2043"
"Chris Richards","79.8","2","1922"
"Jens Stage","77","23","2204"
"Juan Cuadrado","79.2","19","832"
"Hafiz Ibrahim","60","4","391"
"Wladimiro Falcone","60.9","0","3420"
"Guillermo Marip?n","86.3","5","2340"
"Carles Ale??","76.1","19","1090"
"Piotr Zieli?ski","89.5","14","980"
"Nicolas Pallois","83.6","3","2017"
"Isaac Palaz?n Camacho","77.1","48","2162"
"Nicol?s Paz","80.6","54","2687"
"?lex Grimaldo","81.2","73","2636"
"Lucas Hern?ndez","91.7","1","877"
"Alassane Pl?a","72.1","25","1902"
"Marvin","73.7","6","1038"
"Bernardo Silva","86.8","53","2670"
"Isak Hien","89.7","2","2327"
"Kevin Vogt","88.1","2","1367"
"Jaka Bijol","83.6","12","2963"
"Yvann Macon","73.8","6","790"
"Stefan Posch","83.7","0","387"
"Finn Porath","66.9","22","1970"
"Juanmi","76.6","4","696"
"Mitchel Bakker","77.8","23","1139"
"Luis Henrique","81","53","2613"
"Thibaut Courtois","83.1","1","2700"
"?lvaro Pascual","64.9","2","408"
"Jack Harrison","62.8","33","2076"
"Michel Ndary Adopo","83","19","2409"
"Mattia Bani","87.4","2","1507"
"Rolando Mandragora","77.8","31","1856"
"Flavius Daniliuc","83.5","2","1004"
"Jan Oblak","80.5","0","3240"
"Thomas M?ller","75","35","1225"
"Aleksandr Golovin","77.1","24","1153"
"Federico Dimarco","76.3","48","2140"
"Hamed Junior Traor?","74.1","27","2093"
"Antoine Hainaut","75","9","1206"
"Matthis Abline","65.2","27","2768"
"Ibrahim Sissoko","66.3","7","819"
"Kamil Grabara","69.4","2","2585"
"Eray C?mert","87.7","0","1779"
"Josha Vagnoman","80.4","22","1834"
"Michele Di Gregorio","76.6","1","2970"
"Hassane Kamara","75.7","24","2001"
"Nadiem Amiri","77","63","2473"
"Will Hughes","76","33","2108"
"Kosta Nedeljkovi?","81.5","3","479"
"Daniel Maldini","68.3","12","1306"
"Marcus Rashford","71.3","13","444"
"Jarrod Bowen","71.7","51","2973"
"Patrick Dorgu","81","12","842"
"Aridane Hern?ndez","87.9","2","1025"
"Brice Samba","81.1","0","1350"
"Sead Kola?inac","87.5","17","1903"
"Florian Lejeune","83.8","14","3325"
"V?ctor Meseguer","78.3","1","418"
"Leo Skiri ?stig?rd","83.9","3","927"
"Philipp Treu","80","22","2881"
"Kevin Schade","59.7","23","2293"
"Olasagasti","77.1","6","857"
"Guimissongui Ouattara","85.6","3","471"
"Samuel Essende","64.8","11","1636"
"Marc-Oliver Kempf","87.2","10","2615"
"Vedat Muriqi","60.6","26","2058"
"Morgan Guilavogui","65.9","27","1807"
"Anthony Jung","89.6","2","1898"
"Marko Ivezi?","86","4","1657"
"Mert K?m?r","71.9","13","654"
"?ngel Correa","73.6","14","805"
"Matz Sels","52","2","3420"
"Junior Mwanga","82.2","7","952"
"Sandro Tonali","83.7","28","2630"
"Luca Ranieri","85.4","16","2981"
"Lamine Yamal","74.8","64","2856"
"Gorka Guruzeta","72.5","15","1840"
"Khvicha Kvaratskhelia","76.4","28","1178"
"Lamine Camara","82.8","44","2054"
"Armindo Sieb","69.7","8","762"
"Taylor Harwood-Bellis","87.4","14","2825"
"Patrizio Masini","76.9","6","1538"
"Joan Jord?n","74.9","31","1414"
